DisplayName,Email,Password,Role
Demo Admin,admin@qmah.local,,Admin
Demo Member 01,user@qmah.local,,User
Demo Catalog,catalog@qmah.local,,User
Demo Game Host,game@qmah.local,,User
Demo Social Editor,social@qmah.local,,User
Demo Store Editor,store@qmah.local,,User
Demo Player 01,player-a@qmah.local,,User
Demo Player 02,player-b@qmah.local,,User
Demo Member 03,demo.member03@qmah.test,,User
Demo Member 04,demo.member04@qmah.test,,User
Demo Member 05,demo.member05@qmah.test,,User
Demo Member 06,demo.member06@qmah.test,,User
Demo Member 07,demo.member07@qmah.test,,User
Demo Member 08,demo.member08@qmah.test,,User
Demo Member 09,demo.member09@qmah.test,,User
Demo Member 10,demo.member10@qmah.test,,User
Demo Member 11,demo.member11@qmah.test,,User
Demo Member 12,demo.member12@qmah.test,,User
Demo Member 13,demo.member13@qmah.test,,User
Demo Member 14,demo.member14@qmah.test,,User
Demo Member 15,demo.member15@qmah.test,,User
Demo Member 16,demo.member16@qmah.test,,User
Demo Member 17,demo.member17@qmah.test,,User
Demo Member 18,demo.member18@qmah.test,,User
